species,CPIC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of recap,Column Labels,,,,,,,,,,,,,,,
Row Labels,A,C,D,E,F,G,H,I,J,K,L,M,N,O,Grand Total,
203,,,,,1,,,,,,,,,,1,
204,,1,,,,,,,,,1,,,,2,
205,,,,,2,,,,,,,,,,2,
206,,,,,1,,,,,,,,,,1,
207,,1,,,,,,1,,,,,,,2,
209,,,,,,,,,,,1,,,,1,
210,,,1,,,,,,,,,,,,1,
211,,,,1,,,,,,,,,,,1,
212,,,,1,,,,,,,,,,,1,
213,,,,,1,,,,,,,,,,1,
214,,,,1,,,,,,,,,,,1,
215,,,,,1,,,,,,,,,,1,
216,,,,,1,,,,,,,,,,1,
217,,,,,,,,,1,,,,,,1,
218,,,,,,,,,,,1,,,,1,
219,,,,,,,,,,,1,,,,1,
220,,,1,,,,,,,,,,,,1,
221,,,,2,,,,,,,,,,,2,
222,,,2,,,,,,,,,,,,2,
223,,,,,1,,,,,,,,,,1,
224,,,1,,,,,,,,,,,,1,
225,,,,,2,,,,,,,,,,2,
226,,,,,,,,,1,,,,,,1,
227,,,,,,,,,1,,,,,,1,
232,,,,,1,,,,,,,,,,1,
234,,,,,,1,,,,,,,,,1,
235,,,,,,,,,1,,,,,,1,
236,,,,,,,,,1,,,,,,1,
238,,,,,,,,,,,,1,,,1,
240,,,2,,,,,,,,,,,,2,
241,,,1,,,,,,,,,,,,1,
242,,,1,,,,,,,,,,,,1,
243,,,,,,,,1,,,,,,,1,
244,,,1,,,,,,,,,,,,1,
245,,,,,,,,1,,,,,,,1,
246,,,,,,,,,1,,,,,,1,
247,,,,2,,,,,,,,,,,2,
248,,,,,,,,,,,1,,,,1,
249,,,,,,,,,,,1,,,,1,
250,,,,1,,,,,,,,,,,1,
251,,,,,,,,1,,,,,,,1,
252,,,,,,,,1,,,,,,,1,
253,,,,,,,,,,,,1,,,1,
254,,,,,,,,1,,,,,,,1,
255,,,,,,,,,,,,1,,,1,
258,,,,,,,,,,,,1,,,1,
260,,1,,,,,,,,,,,,,1,
261,,,,,,,,,1,,,,,,1,
263,,,,,,,,,2,,,,,,2,
264,,,,,,,,1,,,,,,,1,
266,,,,,,,,,2,,,,,,2,
267,,,,,,,,,,,,1,,,1,
270,,,1,,,,,,,,,,,,1,
271,,,,,1,,,,,,,,,,1,
272,,,,,1,,,,,,,,,,1,
273,,,,,1,,,,,,,,,,1,
274,,,,,1,,,,,,,,,,1,
275,,,,,,,,,1,,,,,,1,
